city,category,year,count,region,total_count,cumulative_count
Kanpur,total_accidents,2012,1257,non_metro,5273,1257
Khozikode,total_accidents,2012,1270,non_metro,5085,1270
Kochi,total_accidents,2012,2280,non_metro,11332,4266
Kolkata,total_accidents,2012,3937,metro,20415,7070
Kollam,total_accidents,2012,1763,non_metro,8272,3431
Kota,total_accidents,2012,601,non_metro,3436,1217
Lucknow,total_accidents,2012,1202,non_metro,6453,2472
Ludhiana,total_accidents,2012,430,non_metro,2357,874
Madurai,total_accidents,2012,839,non_metro,3947,1524
Mallapuram,total_accidents,2012,2711,non_metro,13659,5405
Meerut,total_accidents,2012,964,non_metro,4701,1850
Mumbai,total_accidents,2012,24592,metro,119613,50063
Nagpur,total_accidents,2012,1083,non_metro,5982,2314
Nashik,total_accidents,2012,1023,non_metro,4521,1023
Patna,total_accidents,2012,1185,non_metro,5482,2410
Pune,total_accidents,2012,1624,metro,6587,1885
Raipur,total_accidents,2012,2222,non_metro,8750,2222
Rajkot,total_accidents,2012,981,non_metro,4366,2020
Srinagar,total_accidents,2012,511,non_metro,2285,1003
Surat,total_accidents,2012,1146,non_metro,5217,2369
Thiruvananthapuram,total_accidents,2012,1933,non_metro,8139,1933
Thrissur,total_accidents,2012,1288,non_metro,6570,2550
Tiruchirapalli,total_accidents,2012,778,non_metro,2958,778
Vadodara,total_accidents,2012,1196,non_metro,6034,2539
Varanasi,total_accidents,2012,379,non_metro,1772,521
Vijayawada City,total_accidents,2012,1600,non_metro,6409,1600
Visakhapatnam,total_accidents,2012,1439,non_metro,7737,2987
Agra,killed,2012,427,non_metro,2538,1059
Ahmedabad,killed,2012,251,non_metro,1298,478
Allahabad,killed,2012,408,non_metro,1850,408
Amritsar,killed,2012,95,non_metro,386,95
Asansol-Durgapur,killed,2012,224,non_metro,1092,454
Aurangabad,killed,2012,192,non_metro,865,365
Bengaluru,killed,2012,725,metro,3639,1445
Bhopal,killed,2012,301,non_metro,1328,600
Chandigarh,killed,2012,136,non_metro,513,136
Chennai,killed,2012,1401,metro,4652,1401
Coimbatore,killed,2012,270,non_metro,1304,529
Delhi,killed,2012,1866,metro,9044,3931
Dhanbad,killed,2012,54,non_metro,495,136
Faridabad,killed,2012,247,non_metro,1176,496
Ghaziabad,killed,2012,378,non_metro,2037,913
Gwalior,killed,2012,232,non_metro,1212,480
Hyderabad,killed,2012,464,metro,2234,905
Indore,killed,2012,447,non_metro,2177,872
Jabalpur,killed,2012,275,non_metro,1544,535
Jaipur,killed,2012,391,non_metro,2104,797
Jamshedpur,killed,2012,189,non_metro,798,396
Jodhpur,killed,2012,313,non_metro,1429,577
Kannur,killed,2012,78,non_metro,335,133
Kanpur,killed,2012,564,non_metro,2383,564
Khozikode,killed,2012,174,non_metro,674,174
Kochi,killed,2012,144,non_metro,781,326
Kolkata,killed,2012,498,metro,2225,916
Kollam,killed,2012,213,non_metro,1121,435
Kota,killed,2012,112,non_metro,567,225
Lucknow,killed,2012,497,non_metro,2550,1014
Ludhiana,killed,2012,262,non_metro,1469,556
Madurai,killed,2012,127,non_metro,713,252
Mallapuram,killed,2012,325,non_metro,1727,649
Meerut,killed,2012,447,non_metro,1966,831
Mumbai,killed,2012,488,metro,2698,1051
Nagpur,killed,2012,280,non_metro,1367,516
Nashik,killed,2012,155,non_metro,695,155
Patna,killed,2012,509,non_metro,2284,1016
Pune,killed,2012,407,metro,1707,471
Raipur,killed,2012,362,non_metro,1646,362
Rajkot,killed,2012,151,non_metro,742,323
Srinagar,killed,2012,64,non_metro,318,139
Surat,killed,2012,229,non_metro,1228,477
Thiruvananthapuram,killed,2012,167,non_metro,701,167
Thrissur,killed,2012,127,non_metro,618,268
Tiruchirapalli,killed,2012,142,non_metro,612,142
Vadodara,killed,2012,171,non_metro,972,343
Varanasi,killed,2012,216,non_metro,940,289
Vijayawada City,killed,2012,376,non_metro,1429,376
Visakhapatnam,killed,2012,384,non_metro,1924,798
Agra,injured,2012,675,non_metro,3868,1721
Ahmedabad,injured,2012,1845,non_metro,9055,3881
Allahabad,injured,2012,573,non_metro,2842,573
Amritsar,injured,2012,71,non_metro,361,71
Asansol-Durgapur,injured,2012,315,non_metro,1408,500
Aurangabad,injured,2012,649,non_metro,3188,1393
Bengaluru,injured,2012,4527,metro,21968,9479
Bhopal,injured,2012,3076,non_metro,14041,6046
Chandigarh,injured,2012,347,non_metro,1348,347
Chennai,injured,2012,8628,metro,34003,8628
Coimbatore,injured,2012,1004,non_metro,6058,2062
Delhi,injured,2012,6633,metro,37498,13859
Dhanbad,injured,2012,191,non_metro,1062,297
Faridabad,injured,2012,537,non_metro,2644,1132
Ghaziabad,injured,2012,710,non_metro,3509,1527
Gwalior,injured,2012,1434,non_metro,7863,3060
Hyderabad,injured,2012,2471,metro,12179,4999
Indore,injured,2012,4419,non_metro,22412,8472
Jabalpur,injured,2012,2545,non_metro,14464,5535
Jaipur,injured,2012,1636,non_metro,8430,3551
Jamshedpur,injured,2012,334,non_metro,1502,626
Jodhpur,injured,2012,436,non_metro,2702,961
Kannur,injured,2012,814,non_metro,4089,1647
Kanpur,injured,2012,958,non_metro,3899,958
Khozikode,injured,2012,1451,non_metro,5569,1451
Kochi,injured,2012,2431,non_metro,11643,4439
Kolkata,injured,2012,3216,metro,16146,5636
Kollam,injured,2012,1909,non_metro,8748,3720
Kota,injured,2012,709,non_metro,3665,1397
Lucknow,injured,2012,762,non_metro,3923,1503
Ludhiana,injured,2012,250,non_metro,1325,439
Madurai,injured,2012,835,non_metro,3823,1491
Mallapuram,injured,2012,3604,non_metro,16956,7138
Meerut,injured,2012,833,non_metro,3923,1512
Mumbai,injured,2012,4543,metro,21819,9602
Nagpur,injured,2012,972,non_metro,5677,2116
Nashik,injured,2012,461,non_metro,2250,461
Patna,injured,2012,556,non_metro,2771,1132
Pune,injured,2012,1392,metro,5715,1605
Raipur,injured,2012,1558,non_metro,5756,1558
Rajkot,injured,2012,983,non_metro,4192,2025
Srinagar,injured,2012,539,non_metro,2382,1050
Surat,injured,2012,867,non_metro,4038,1708
Thiruvananthapuram,injured,2012,2244,non_metro,9616,2244
Thrissur,injured,2012,1420,non_metro,7118,2763
Tiruchirapalli,injured,2012,864,non_metro,3204,864
Vadodara,injured,2012,1071,non_metro,5004,1979
Varanasi,injured,2012,160,non_metro,843,229
Vijayawada City,injured,2012,1446,non_metro,6036,1446
Visakhapatnam,injured,2012,1063,non_metro,6247,2349
Agra,total_accidents,2013,1008,non_metro,5367,3229
Ahmedabad,total_accidents,2013,1888,non_metro,9237,5758
Allahabad,total_accidents,2013,1125,non_metro,4178,2058
Amritsar,total_accidents,2013,135,non_metro,602,287
Asansol-Durgapur,total_accidents,2013,433,non_metro,2070,1181
Aurangabad,total_accidents,2013,565,non_metro,3213,1999
Bengaluru,total_accidents,2013,5215,metro,26592,16754
Bhopal,total_accidents,2013,3294,non_metro,17456,10376
Chandigarh,total_accidents,2013,410,non_metro,1614,829
Chennai,total_accidents,2013,9705,metro,36306,19368
Coimbatore,total_accidents,2013,1300,non_metro,6661,3554
Delhi,total_accidents,2013,7566,metro,38492,21784
Dhanbad,total_accidents,2013,484,non_metro,986,766
Faridabad,total_accidents,2013,713,non_metro,3615,2227
Ghaziabad,total_accidents,2013,874,non_metro,4556,2833
Gwalior,total_accidents,2013,1934,non_metro,10037,5938
Hyderabad,total_accidents,2013,2591,metro,13488,7819
Indore,total_accidents,2013,5516,non_metro,27601,15944
Jabalpur,total_accidents,2013,2939,non_metro,15262,8764
Jaipur,total_accidents,2013,1794,non_metro,9402,5588
Jamshedpur,total_accidents,2013,382,non_metro,1838,1253
Jodhpur,total_accidents,2013,522,non_metro,2812,1581
Kannur,total_accidents,2013,593,non_metro,2962,1768
Kanpur,total_accidents,2013,1269,non_metro,5273,2526
Khozikode,total_accidents,2013,1151,non_metro,5085,2421
Kochi,total_accidents,2013,2248,non_metro,11332,6514
Kolkata,total_accidents,2013,4437,metro,20415,11507
Kollam,total_accidents,2013,1577,non_metro,8272,5008
Kota,total_accidents,2013,706,non_metro,3436,1923
Lucknow,total_accidents,2013,1254,non_metro,6453,3726
Ludhiana,total_accidents,2013,519,non_metro,2357,1393
Madurai,total_accidents,2013,695,non_metro,3947,2219
Mallapuram,total_accidents,2013,2653,non_metro,13659,8058
